Title,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Software Engineer,Nova Biomedical,"Waltham, MA",7 days ago,10-29-2020,"Development projects have a large variety of technologies used, including BLE (Bluetooth Low Energy) system, Wi-Fi, microcontrollers, motion control and vision…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CE9-h-TVkuP7DOBpzdXnxV0tyxLu_aTAUD44043CnofuA6hIxdZhju2KRVnEAqeFEfhOOUXQEuPgQk1orMh4lfMhb_GBU72RJrQ4Io5lPYu5oDBi6czUKOqSv3VhcJXTqCDGF0uYT_cB3woz4UyuTbqljHSmpTV6NictakkhLEuHi7y5GTqUZeJmmZdju8rYp91qDDiEYgsxiMF9uXpAJ0XOOvVYxDZC6NjjybiSBmK9_USp05xzMcP46HUsBKaWI02YVbgj82iHD9VmPCE9iHhr5Dry0TCLQS4EMrHgwCfWZXbApsjI_TT1P4FAv9AqzXB2_lWDgGkA8H0zO_KnFImJBynlEes-evxeWKhCL9kkRzz91BskDO4oNw2hhNmbWwqX00pVlWpE-s3DijT9ldRNogMS35HfKtr1p1j6Jk-sxU2DNT2F_7tiqUKqh_XOHETrYJZHdaMXm-UKO8sfDmJ8ImrrrYfCPXXVnifZknUpROM_ql7od8okkbnM4idErScIhVU1-AwF4s8vG3ZgRk&p=0&fvj=0&vjs=3
Senior Software Engineer (Backend),iScribeHealth,United States,6 days ago,10-29-2020,"Identify, prioritize, and execute tasks in the software development life cycle.
Develop high-quality APIs and implement new architecture as needed.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BjZmJXE_ZE_5pPrzySDnqDJ8lHZ3elBPD_9BBCljPMcSUoJyYsmrWRNcIkGH9oL4tdVD_XEwIZhQW3MY5L1BFnxDvuxvSSKay2i2_IGWBoLf-jW8QY-bTyR7p9aUZQoimdDZJ9KygMdsmKUkYnT1Eqpn6wO_GBQzLJ0o-U6dWTuh2Q8TVWU8Mn-DpJtQ1OoXtcUK2V_jbrcCmb_s-6RdvahEznVRkmb7SWvfbnTpT8SnIPoTur_SVdmgI58eydH8zQaCO7p_jEzATCKzjdEOgTwREIU0MA4PJt1vU_wl-rx6hlE9UfsKNCNhF-Bv7Vy0iQbpu-5mAZX8hfCrCkw0OzAa92JQjQDqRuqRlQLW8Z7Xrn9JsNNVGF4psMsXvGZXxtwodRrA6yQ7ZoBE-TuTlPOXpOOM4riEIwPuSBLLWkf5ju7bpSfoRI-VYUtXtKcywXvTT78pyedPvu_oNdLKFI9XvlgwyFYrmWHShJKFeO5A==&p=1&fvj=1&vjs=3
Software Engineer,Microsoft,"Redmond, WA",Today,10-29-2020,"Excellent analytical skills with systematic and structured approach to software design.
2+ years of software design and development experience with backend…",,https://www.indeed.com/rc/clk?jk=84aee7ce904d8d0a&fccid=734cb5a01ee60f80&vjs=3
Software Engineer Apprentice,IBM,"Tucson, AZ",Today,10-29-2020,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",,https://www.indeed.com/rc/clk?jk=bfd0147a0e89343d&fccid=de71a49b535e21cb&vjs=3
Software Engineer,Indeed,"Austin, TX",6 days ago,10-29-2020,"Preferred minimum 1 year of experience using Spring, React, Node.js, TypeScript, Jest, and Enzyme, or demonstrated ability in learning similar tools.","$116,000 - $142,000 a year",https://www.indeed.com/rc/clk?jk=ae836f2ef3fc2d88&fccid=d6ef41e202aa2c0b&vjs=3
"Software Engineer, University Graduate",SingleStore,"San Francisco, CA",2 days ago,10-29-2020,"Passionate about building highly reliable software.
Our engineers are not just technical partners, but are also business partners who are exposed to all areas…",,https://www.indeed.com/rc/clk?jk=08a89947d2736c05&fccid=b3600a8d33b22e85&vjs=3
Software Engineer (Entry-Level),Raptor Maps,"Somerville, MA",2 days ago,10-29-2020,"We’re looking for an incredibly talented full-time software engineer.
You have 1+ years of work experience in software development.",,https://www.indeed.com/rc/clk?jk=4895c5581d575885&fccid=dd616958bd9ddc12&vjs=3
Software Engineer,Good Wrench Services,"Princeton, NJ",7 days ago,10-29-2020,"\* Experience with developing web based software with website integration.
The platform will need to function from a web application and mobile application so…","$30,000 - $60,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIAyuBr7smVtq-0CV-O4Pr3l0yxoduEH8fST5MtclVWwDgb-V8aCpZxv2ffbD21pRWNinc629EnC_yuQodEU3lakGHgA5DrkLLG6hdhvrkMADKWFXByV8m0VjtzWrmOl5P9jgP1jW3rYbYpdP94mzq-NEPgsS9f9LaZnTWTqEOBjnvhNqi1YK4rwKJula6pIYni_Y3LzZ_W3Np5SW6nArC99uKOMbcOGkZQXzQsJM2O-P5rJURfNIDpSjnocD9nE9ajEygWKArveIR_4pmczgqh3KJvwBYG6ArB3_ubQTAQ1DDNrOQefvWvbAWyueImGqvNWI5uViu2VKVexiUDcHUUDiZSGJbNG24dFBq0mlylv_jOkl2w7o5H28G1BjvGMrFYxz2RgKaqk_OZXLPWJPDLQ2FroLxS4sn7cmcp4M1TXOCeDkxnp8ehXykpNNz17bXJw29n61U7rV32XtvmcXR&p=7&fvj=1&vjs=3
Software Engineer,ENVOGUE,"New York, NY",4 days ago,10-29-2020,"Evaluate and implement new business systems ERPs, cloud-based solutions for different departments in the company.
Strong Familiarity with testing frameworks.","$70,000 - $80,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACkm67AjEioz8w6cf9prnemCQewysdu6xRGSonRMUajRAyt2Z4rRwQweeO7XNSqJSycm5OjG-gpFjQ3PcaDenLlGzwgqhie2RE-Mqzv4XN32AhzB9uvwSoBeyHERRwskX5FVChV7pGkHb-U4IP1-yw37V8ip2uB10D1oDl3XBhUiqish-o9ROxmFLHnmwVq5gfWgUkN85MUYTCohcMRGPraQKQm8K7rkE2EmgwwowOcjk_Kgb8k9YGeq_GjiEURP7YjdRQGei_HtGu-uN3W13CCEvaywxAfACaZ9vazLzjU-D1dxSE-v19rIdKy7is_sWZy8dNV_QeEaAMxX_QdCujAkxuzhjQdzYfoXNx8dzCbmXMA38ylMw0XsiVE9NUw_TLr0afMug3b9RoZxcGZkbQZIhBR72LFIzcARgQJX1OkMDD7ltoyQXK8LfLvpLP_ygowCrPkeKZVw==&p=8&fvj=1&vjs=3
Senior Software Engineer,"Infinity Consulting Solutions, Inc.","Dallas, TX",2 days ago,10-29-2020,"5 + years of experience building production software systems.
Design & develop world-class, secure software and services.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOytGsXAhabkxxW1XT3zuzbFIsl3o9kRJA0NqiDY0Sxt2kElzPWeeJFXRb1yxKH0CkTOyU8Qk_US7MXf1ggs5BhNZtqEAjoP5pUpHTEzWFicb-MXT04sOIiTplHW1gU_qYJQ4txBjAPsHOGsCMl1SmWgPArPA7Y306fLqhZvktRlEnwqDvYpViBsDizcf6A0DO47_QXd1MjaqRPLhTiLwenagh_Ubxzq-hYkGLBrOb7bQkvQxgPMbxI_0opzXc3kaUvkUT1rnj0-kHSU5Sl3Bav61YqcsofBJ2pTfkhqtr9BNl4Uku_joLeptEdo1HGdWuTBElLeXuXgizncaN1EYBNFLrchADvy-1PDiTXo_nXuu4Uu0BRqVvndirer7RnmpO4EQBK9vlHLWYyMMiIqTw1S5zEruXyVilxjmFk4EcYH3uVQGtMrGRMhhdWdVcXbum8kZFvtHyusulbgXMoTWTOrYtoKZCDT3pOV0Vjd6R1kERQ54-3MD_eD4_oDNEADU8jC5gwq2m3JDwrodfLZrMtMynuZdcbAfeF8Wyn02pNp9m1PiW1zOIiYy7pUhWoiwaPL5ww_eYZmi9k-cOdBcHwS86OAVyk2XGglLOa1UlZOZzOOGxyzEmC1ik7a4Mdkx700eWk-QB3GEWfNe00a46tqIXK6NZaUxf-N0PgXuf-28QNiVX-g_6DHEOp9FIvRRHAn0fNHznJ9-mt5X3FvHhSJyjDh58ohiITh1deLb-lzFdzuvft7PZhrd4ea42iPMTkNfNNMnUmNzm9poDkmOqYTTKaqe-7KmtECMPOqS1BgodLZ4FTMWWSMDuPbEMV4Nk-G3uIxS4qL6p748GCgGhfw_I072pmktgKGqfmAraWD859audCHE4FHlWetpiznPeHhOsJEJ4iH1OHzg93A3DkOqXJR_ApMi389cJrKpthwiMv_J5rcd2oTE7d5iFJs2oeskuQ6dqjqNMZxXVYXVLBDkBJsJx5a0=&p=9&fvj=0&vjs=3
