Title,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Data Analyst,SAC Health System,"San Bernardino, CA",3 days ago,10-29-2020,"Ability to acquire data from primary and secondary data sources and maintain databases/data systems.
Responsible for database administration, data consolidation…",$29 - $32 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-Xi1TwG9AK9OfgEfiOcAwpemW4s_0sBQkjkJT2hDq89lMMoIDAkacdauoPSdMarL1Mr-tq4PM8rmBF6bGXAwGA8YsW5U2CzgxSBj-BVLw7rnTtnqcLZSAD8PJQYZYil5tuEtbqRPRlTmVZ8LXcosBKD7ba55-WMtXSxrI0S6nPjEiYvb6W0UDaNKLPFh0UtV4yu2wUGrcXoOdCCImT4uE0uejYWeSoF9yJjvuuSIZnSnCtC3fZVSHJI7fkCr4HG1_F9ienKGDrpF8SN0oNuP2UaCwmOHH5HkvQiAGuhnrRlvgDG6_eHv1DBXtr1ntHtLVr4AQB8TaEofc1-qrlng71E5BQNnAMPoStjvfXeyaEF4wQCXFmFQlmcb6ceeN0_yH3zW6eXKrdmo6lOAPCZSJK-idWcXDnxkk2aaiMwCcYuhdh6WDW2O7TfkaLPt-cCI=&p=0&fvj=1&vjs=3
Data Analyst,Pricesenz,"Boulder, CO",Just posted,10-29-2020,"Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, database design development,…",$33 - $53 an hour,https://www.indeed.com/company/Pricesenz/jobs/Data-Analyst-30c3577be486ed51?fccid=04f1a341eb475915&vjs=3
Data Analyst,Science 37,California,2 days ago,10-29-2020,"Ability to leverage Tableau to solve common data problems (integrating with and blending/joining multiple data sources, etc.).",,https://www.indeed.com/rc/clk?jk=2f7ab2171a40def6&fccid=8d01edb1829aa4fc&vjs=3
Data Analyst,Navigant Credit Union,"Smithfield, RI",2 days ago,10-29-2020,The Data Analyst identifies opportunities to further leverage existing data applications for continuous process improvement around the distribution and…,,https://www.indeed.com/rc/clk?jk=ec06107e3b141ed2&fccid=cacc8df1333c3961&vjs=3
Data Analyst,Built Technologies,"Nashville, TN",Today,10-29-2020,"Strong technical accomplishments in SQL and data analysis skills using other tools.
Identify, analyze, and interpret trends or patterns in complex data sets.",,https://www.indeed.com/rc/clk?jk=02a38012fa20a2e9&fccid=e87902195236c825&vjs=3
Data Analyst,ESAI Energy LLC,"Wakefield, MA",6 days ago,10-29-2020,"The position entails the management and ongoing development of relevant data sets, finding new ways to visualize data.
Only full-time employees eligible.","$50,000 - $70,000 a year",https://www.indeed.com/company/ESAI-Energy-LLC/jobs/Data-Analyst-72f89ba9129c7f3a?fccid=35b54818e451a046&vjs=3
Data Analyst (Entry)-Data Science-R&D-CH-US,Fusion Technical Solutions,United States,Just posted,10-29-2020,"Write data pipelines to convert raw data into aggregated data that can be used as signals.
Automating data pipelines by doing ETL in cloud data systems such as…",,https://www.indeed.com/rc/clk?jk=b2eeb1e30b4c9dc0&fccid=f5defb8af6e02778&vjs=3
Junior Data Analyst,Helm360,"Los Angeles, CA",5 days ago,10-29-2020,"Providing technical expertise on data storage structures, data mining, and data cleansing.
Provide quality assurance of imported data, working with quality…","$80,000 - $90,000 a year",https://www.indeed.com/company/Helm360/jobs/Junior-Data-Analyst-8610d0f632638b23?fccid=0d0582f3e490bc41&vjs=3
Jr. Data Analyst,Dixon Resources Unlimited,"San Diego, CA",6 days ago,10-29-2020,"The ideal candidate will have experience analyzing various forms of data, will have exceptional Excel skills, and maintain a high level of detail and accuracy.",$23 - $25 an hour,https://www.indeed.com/company/Dixon-Resources-Unlimited/jobs/Junior-Data-Analyst-7a1c40552938f02c?fccid=0c769711b8bcd495&vjs=3
Data Analyst,SUN Behavioral Health,"Red Bank, NJ",6 days ago,10-29-2020,"Exceptional Microsoft Excel and data manipulation skills.
1 - 3+ years of experience in data analysis reporting.",,https://www.indeed.com/rc/clk?jk=8402ccd44c10f555&fccid=58125660c9f424fe&vjs=3
Data Analyst,CareMetx,"Bethesda, MD",Today,10-29-2020,"Minimum of three (3) years of data analyst experience.
The data analyst will be responsible for conducting analysis, trending and data mining large sets of data…",$35 - $55 an hour,https://www.indeed.com/company/CareMetx/jobs/Data-Analyst-55f3c492dcaeec9c?fccid=bbbe33aaa3badafc&vjs=3
Data Analyst,Advantage Solutions,"United, PA",2 days ago,10-29-2020,"The position will allow you to work remotely.
Need a minimum of 4 years experience and needs to be very familiar with EXCEL and building pivot tables.","$55,000 - $60,000 a year",https://www.indeed.com/company/Advantage-Solutions/jobs/Data-Analyst-1781915361369350?fccid=ad84136f89d5076f&vjs=3
Data Analyst,Horizontal,Minnesota,Today,10-29-2020,"Create standardized analytic data files for statistical analysis of longitudinal healthcare data.
Communicating with hospital clients to identify and resolve…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVLD0NwOQENOe9ZSCJLsOt28qZmO4545ePKxrhyheH8ozpOzhav8ejIYdQ_MchV7mIKoKeapptmN3dPzbTAsIRXj2ty_sg2Wzd5uiVJdi90mIdxq9-zy0kscIfvMFNqqu-vr6mZmTht3Sym0rqFLi6_aQu6iHxCOS1DFA06eCMhzvZPL_GF522lGtijgVq4ppyAD1A-_VE5QbRPQD6Rb5Ng1zh6XMWcY1UIjcqIP7Nvu2mY06N04KcJt-b_SJSVjY67RAe9I8KcXXMH6HBm0ljVcNqydpTlKamHTUHaBkc-T4zrptl4Sth1cGKlgIAj3cE0J5QIM-hrjlaPiyCQgWWUkHew4QlAsHQ2Slz9WmggkycW0dBHRHeYL4KpkBQGFFOlCsGadITKXM5Ru8ilZsM6K6sySlIBuBd96Om9t0Mwdqqbf5H1VOrOedkF_R_XMbk7iyz7Zf_lM1LQDFzmzMz9mX8pJLlUv9AgRMjQk7kxRgS8UDOdZKsToXJkIih6G13nnturv6nBlKvBjMAF54OTgjozDqI2Bg3lab-XLmjE8uC2ICyiim1wcfnHkAnzP_MselCuK1fKjQ4HRyZ5rcHZd1Efo-YNtLNf9yZrDAXLGR9iK3X0TguXUEdgMUMjhXg3NCEpIB0BtyaTp8kZWDJhcDZUooOOfsq18Cr_jcSc8oRB0HetkQw2dAKeB1fppQ_NXVMVV3qLdOs5luZ7DUQuShCbIQR6ymkOZmM_DTHzUdBzJP0FPu1YFTbjr-s6vXhD_wPR8APObErfgnRUMvkxRxj-MZAcBi2DI9q-Vg3Ef0l_BJ2-qHFQmCg11ELbOgDR8s96w83-r_p9u4C5nEVdZif-ZwL4HdbreERYlxbJI6vYgJNekF4VXi-fnxsdSj-iYz5Kme8tWGxswua4FTt49S7Iuw5nf4jdyjLvK67ZE-pEhSgjKCJdDbM4VGgJLQiG6ZuUjgaZ4k3FowXuIohdtLOKEtswEy1OoYYDD8bYw==&p=12&fvj=0&vjs=3
Data Analyst,Givelify,Texas,2 days ago,10-29-2020,"Demonstrated experience applying data science methods to real-world data problems.
3-5 years of professional experience.",,https://www.indeed.com/rc/clk?jk=7f9a5091a5fcc47a&fccid=acba88459af3c5ce&vjs=3
Jr. Data Reporting Analyst,MINT dentistry,"Dallas, TX",2 days ago,10-29-2020,"Regularly examine data reports to locate and resolve mistakes throughout.
Create business reports that provide insight into key data points.","$40,000 - $60,000 a year",https://www.indeed.com/rc/clk?jk=c7fb9e34a05e0bf8&fccid=173b57221c8e538d&vjs=3
Data Analyst,Givelify,Texas,2 days ago,10-29-2020,"Demonstrated experience applying data science methods to real-world data problems.
3-5 years of professional experience.",,https://www.indeed.com/rc/clk?jk=7f9a5091a5fcc47a&fccid=acba88459af3c5ce&vjs=3
Data Analyst,Microsoft,"Redmond, WA",11 days ago,10-29-2020,"A desire to learn and understand how data flows, starting from our gamers interacting with our products and services to seeing that data land in our systems and…",,https://www.indeed.com/rc/clk?jk=8be65aa23eff1c7f&fccid=734cb5a01ee60f80&vjs=3
Online Data Analyst,Lionbridge Technologies,"New Orleans, LA",7 days ago,10-29-2020,"You must be living in United States for the last 3 consecutive years.
The position will allow you to work from home on a flexible schedule of up to 20 hours per…",,https://www.indeed.com/rc/clk?jk=e7477b7c35da47f7&fccid=52f57f86717b2054&vjs=3
Data Analyst,ESAI Energy LLC,"Wakefield, MA",6 days ago,10-29-2020,"The position entails the management and ongoing development of relevant data sets, finding new ways to visualize data.
Only full-time employees eligible.","$50,000 - $70,000 a year",https://www.indeed.com/company/ESAI-Energy-LLC/jobs/Data-Analyst-72f89ba9129c7f3a?fccid=35b54818e451a046&vjs=3
"Analyst, Data and Analysis",Digitas,"Boston, MA",3 days ago,10-29-2020,"Identifying nuances in data to optimize our clients’ business.
Keeping a pulse on day-to-day performance data, including display media, site, search, email, and…",,https://www.indeed.com/rc/clk?jk=53f245d69f5b7c74&fccid=274e15dee00b5237&vjs=3
Data Analyst,SocialChorus,Remote,1 day ago,10-29-2020,"3-5 years of experience as a data analyst or similar role.
Develop data pipelines for third party services within SocialChorus.",,https://www.indeed.com/rc/clk?jk=743a15b107e61739&fccid=f38b81a21c8c8d3f&vjs=3
Data Analyst - Remote,Shine Systems,"New York, NY",2 days ago,10-29-2020,"Datamodeling and documentation schemas with data catalog tooling.
Experiencewith building data warehouse fact and dimensional models.",,https://www.indeed.com/rc/clk?jk=2107bf0c2174a725&fccid=71a3b3db8c603fbd&vjs=3
Healthcare Data Analyst,pulseData,"New York, NY",7 days ago,10-29-2020,"Works with the data science and engineering team to normalize EHR and claims data into bespoke data schema.
Combines clinical domain knowledge and data skills…",,https://www.indeed.com/rc/clk?jk=228f71a64ca06771&fccid=2c23f29fcd5c78da&vjs=3
Data Analyst,Select Staff,"Brownsville, TX",1 day ago,10-29-2020,"Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",$15 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cw4zwEQ7aHI-4QifU-hzlqQB2Vsoitc6rc28LJJqyY6vb5cUfUcuW8fvp_b3X2v6qmQZq0kI9GOYxQce_IszjOuFf3N0cYE73ivsVjbcQO8q7NhPsQqy12zXmZ05FdTwfaIl22PDBxSuehTzXrVM5MU82H4dPo3w6MFViVl554uKnICuNWd0YHmk80w_oA0OqQDG_7Uof61eE6qrirT9bpobHKfGDak3Jbpw9nvJ5D3d395pYJ4FRApz26AdSBAfVHomNrCmblj-pj9YWk4_Bg4gW2d-DcLKDwDDjXJ5zEIufe01ErM8y1bbCiiY6GJgydyiaUrdbtkj_T363JluLN6tYuA1OD3IG6tE-ZbSP9b_-qnbl-aAp_uS6--JTQSyoLaL7kVj2M8EFboQtUPO0S0MfaIwpiHUGFRlOlVowS_d7JejBAPomplu56k_i_cGUG4xzvK_EJ2w1L_fe7LSad&p=8&fvj=1&vjs=3
"Data Analyst, Finance",Faire,"San Francisco, CA",1 day ago,10-29-2020,"Experience working with large data sets, building ETL tables, performing in-depth data analyses in SQL, and creating KPI reports and dashboards in business…",,https://www.indeed.com/rc/clk?jk=214573b9b505515a&fccid=f3a36f726f745c17&vjs=3
DATA ANALYST CLERK,ABM Industries,"West Hollywood, CA",Just posted,10-29-2020,"The Clerk is responsible to sort and distribute incoming mail and packages.
The Clerk will also make sure mailing supplies are stocked at all times and makes…",,https://www.indeed.com/rc/clk?jk=c90e9aed8542c2e0&fccid=dcf22ae3c1cdd701&vjs=3
Data Analyst,Boot Barn,"Irvine, CA",1 day ago,10-29-2020,"3+ years in a data analyst role working directly with databases and manipulating large datasets.
This position will mine transactional data from a variety of…",,https://www.indeed.com/rc/clk?jk=5c747a87f95d5715&fccid=9074399e3497669b&vjs=3
