Title,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Business Intelligence Developer,Premier Bank,"Youngstown, OH",8 days ago,10-29-2020,"Designs, develops and maintains business intelligence solutions.
Translate business needs to technical specifications.
Position Supervises: No direct reports.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CWZPoMSjn9nBNnQW3RaS_ugoSGSqPHnRb4Oc59riexG6FLxjDjX4ueP2e3UJ0KU3iRJKv8GZT_HB6cCFpkioYZocR5AuKpX0Bxmf0pNOpwq27Iw8D4hYLfj5LXFRj0Pu6lGg6kWC9FBjEoHvOFHWBwCl4cF1RkH7tzxKBeRJIx15rhe7-I8KSqf6JaExI6gZyYPb1erl6hzxpS4CErxU0qr_4Xx0Gd5VdKYx9RxfcDCWkFybPylO3NFvCEgTcBLQdSCQ56sNkKMR-fpYZFN4MsMi75qD__bMbweOFvPIYKAbU25B9qE6LJcinuBuWMGBFqU4LH9_hd2OA0oLhE4zfO8XjTtxrv-0i03XIXj2AcEWmwkVIcGtdWPb0bjuFFqCKr2KutvZLdc-wDVprA5w17jqIwVoOxVALJrnfqBMLS8826N12uiGLWZmqWmM17EUWT5sBzZgDASP4xFLCOtGwQ6bzoFIMjko3O_XeiubYAm9EBcTEAh6s7UvEKgsoDALWhsJxfns95tLRKtVBqO_hXy2B_oeHUyYPuiil3ZoWA2Y9RtYXRt4GM2CmzZ2Ml0HWEsBaAA7ZSRwGOiF1GaDFlWxiyAsJlGXG-qCgXlgEHbjmvuWqOoe7FUFmIRvQG4fkrsObv05V2kzuXhvYf58L0SCQOmtJb6To-qQEfFmnS87mBvuGL_HC363tD-TIAkSFLTDuF8qdYnY6cyBbfvWJvBJLC_-lBXq_qt0ULwKOJpkioXExn2YSjEoX4pOdqG2idvBvJimeJlQ==&p=0&fvj=0&vjs=3
Business Intelligence Analyst,University of Utah,"Salt Lake City, UT",5 days ago,10-29-2020,"Provides feedback for strategic planning and business improvement.
Prepare for and attend meetings with internal and external stakeholders to assist with…","$75,000 - $79,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CeT8FX21qA8aHoekqZMuZU4Mih5bXiRa2bV6asheKhAiB6ExneW1BFHsZUGzqaQ2dX1sXsuGhh7vwaCftG_4l58XIoK1BB_YeMoybuc_XA2_OXdK3sXibfdpnjPBPAg8yLC31Z2eP8KznkirJelChq9Geh62O-2HO-WKLrYTRK_HI9r9sE41QyE0NKBVmBllWXzmmlB6CUDLlEg3LrNzySSD6f88sDmQ_R1cD5QRYbkOtwvzX9tWTitzcg4a-59C7JQhfx5K3EX1_ByT7wr5-7co1eUourWb6kwalGmEcHcEQQp8hStKYnDMDoN2Rwe5QZEX_lmL1rYjGHjPUt4HFtpchKERTiCEFf0xzPADJze7rqVRf_smD8ExLY320vyA6IhCoynrYt0H0C1rZqHSsWP64GdA2vnCA9FbZjmkh_wg==&p=1&fvj=0&vjs=3
Business Intelligence Coordinator,Right at Home,"Omaha, NE",2 days ago,10-29-2020,"Contribute to projects with need or emphasis on analysis, data, or other business intelligence functions.
Provide ad-hoc analysis to answer business questions…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CdO47Zqe2Qq3L2FhCr2SiyZVE_Mwz8pl6laM8iOJaTI3X1FDiSGUEo7pxLw0hYVWhLivQwhDyNfzQ-DWlwuX0tEkdv6CUnxMh_emt-ORcRoi_ivtnZRMLyZQMYzsPrDukNaO9QS3_QreIu1foySxz20Wr82QaLXDC22k9xmD97nfvf8r5AQ_qwR9tkYe5qcd2xgpjHM0zzcVUQf1NOZ4LUZTzU4Q2Ju4fdXUE5z8LN9JhuL-3i_VhcsfvBgRGdi1w54nkTYbsz0t3wdCFb4sCP-190_VGxcwVSGvWM8t3HnlQVkEscKp0sMUaMzYTLKLZMVCrllagtceu3N7JzTarzfUP5WJ3d44Z0_xv_nsR3-D5gSKFU1-KSJ0G7D3q2XkWMrKvXf6Eoh5s_yU2p6-Oi0x4Ui2X_0xwDynHZPhILSru5_nX9O__LUhPASUbcWyOAVzqf1DqaXcpK5u00WFk9Ox4eTuPDb4rAOcCkCQRiki2kZ2po_Fl08PoyVVja69f7vDxwqt8yhxPJ-UYH-vG27M4OMqyjNnj2usSCJP_k7ISxBmRMc8Jbe9wVwQWG9KJ86ylMbsnyNQ==&p=2&fvj=0&vjs=3
Business Intelligence Architect,Randstad USA,"Atlanta, GA",2 days ago,10-29-2020,"Design business intelligence dashboards to measure account performance.
Consult with internal and external clients on business intelligence activities.","$61,998 - $103,634 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ArKZTFcV3D9cTdIlyxxLCOVBzcKpt7gG1rC8u7mu0nQUN5xOAX7TgJDBFOrgY9U64SnvGa1XtpZ6jErrLPfCOKaCEIbeqGyURmvkM-4d_dXLCtljK2PY1hiBuWd5hJjD97IYX2E8DsAM6qpxZdCrgm0beQV_0B6kTxqwaNZOoUqAGGgvScFT8XqMIwj41xBidM0-t_y0Y9s2Se6iYPJvI1c1O3hxd7Sh0a_UULmz1APJg-6r5OhtTzTS5C_Q518Y0_T3oOYy916MPQiFWXD8itQpw-Ek4Teba6-clkFugpSzksXCFsUZKCndi9qzuj5q83AgTIpBqeOOOv5_A__RU4t4lGKFDZc5kAZoK-qIKwAAH12Y5aagrI-0AorL2lvPu_R7NOHKXzQqdRpPEsenZ32KJ2L22vpiAnaNGmo2KpuzyyarLFtFXfC7Kwe9UzuIMjs50ppl4q4h5i0ghhO7rTAqGS-IA3jay8fJ5gWTp9CyW-7s8N5Q9G&p=3&fvj=1&vjs=3
"Manager, Business Intelligence",Advanced Drainage Systems,"Hilliard, OH",Today,10-29-2020,Work with business leadership and IT leadership to identify issues and opportunities to improve business decisions through data.,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbTzmpf0EDTV3AxUV8qGCyPi2RMP4oeSbhKoVfKynZaMRSPmaCl8WsN_o42PsCbL6U8Rxlsm4E_8zzdhqb2vpibge-8H79VZHsToCfWQ3TeAPPHYkIPxJaEcfV68782EhsIGUMPMvUzhsYVpoRu2TgKsYqWCWq96_AKsNP0sxndLxvV87GlbNjLVMkfbNN6YGwTXZPyYNs8DxOHhmP3Dm6lxTqWIzsbcKmDtRRN8jNL4RUYY6dPQBCW2JJDisBwgRuCRF0xnql7_1SrHW3gVDBLBeieQV8bAvra6BvAjyS3bzCL45rOnbqwXokfoI518798HPeMMfBMxjVO-t-4mEHk5h1yY3JZGmxQqXK3OVIqtGeDshGMphzHD0u65gHcmjmweKS1mdzsH0-B2TWHNCKOd9Qdq1cSdsN5BIdBNqNpo2y09Ku0Lj_2-HKATegGXA=&p=4&fvj=0&vjs=3
Business Risk and Controls Advisor II (100% Remote work available),USAA,"Tampa, FL",Today,10-29-2020,"Performs risk data analysis, report preparation and trend analysis, utilizing business intelligence tools.
Performs ongoing supervision of established business…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_HWXH6wnIvGcHbP1DP6LLSwPDmt96Wr_5ZYblRLs2I9LiCQW5VZQxWoAFu2QtfU0aS1P6eVkqqEKnJkofs3CB0O53KTjnD_4dinmKSzghk4iXitZsOZVYogLkXH8Fu7HM7opsH4QB6tTJCo-JFWG3dy02iap5oZnlBEMlLy-uwEA1WnnL0VUDDbw3_mPEeI9HmADRpDOwYQK09HZU8cM5AblVK1UpFm2H6VccsTcMxmRWteSQcV3CB-T1Twbk2Gb-GIUHoSdMq_fZHoTVA1-qIHKRzWPRNcvvodK4-GpMT1RCJii1l4xEcYese-hGhB5OvhxFzgsdJNcAzcKIO7owjGiVajY_TqnlA==&p=5&fvj=0&vjs=3
Data Warehouse / Business Intelligence Architect,"Global Data Consultants, LLC","York, PA",7 days ago,10-29-2020,"Under general supervision, is responsible for the architecture, design, implementation and support of data warehouse and business intelligence solutions,…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdJdxyMaAM6TeENipngAkOy7AQr8xlPdeJ7XFpj73LrHetmxzDGx8jUOyKvASWfjGeMpckYs5jEVcPW7hGVAAIpreYfsq3_lARkNKhabl6b261uCShdmUGItpEgziOg-rmvU5W0LlaPe04GUMhp8PzRozFdbZb6nUJL_Pu-Elt9lrhzbokz_MEWUbMOkkOoeYyIMTg9UAx7KOYlKkCwGVHmIAZYINxX0sKRU-b2Sh_YPp27xgPXRs_epvc8j_Lh5FMAmgLD8YmpINpof348iQOIPhj-cahP0szbrrWs2mMsY_gRv8DHIG2FAw5jRnAB26xr66IxYKTjW-LANNoAJyH3Jx1IjhegotK2OGF9MGgEIgOZLOR7JpCAHKlNT9ko3j8dpuKIVLzWLWiilWR91SUXOzv2d-aYOkGLnHCh95TaI0iepko-S8N8jZItKLqmIP37yLx3CBY2vNjZafU4tbArbeWYD9fL-Dsn5PxxhCi8D-3HFahSi5EYSQbKpIYMkSqQ0lBbXLqEg==&p=6&fvj=1&vjs=3
Business Intelligence Developer,Premier Bank,"Youngstown, OH",8 days ago,10-29-2020,"Designs, develops and maintains business intelligence solutions.
Translate business needs to technical specifications.
Position Supervises: No direct reports.",,https://www.indeed.com/rc/clk?jk=cbf6253a49be182b&fccid=81f58f8fdc28edc5&vjs=3
BUSINESS INTELLIGENCE SPEC-10282020-12226,State of Tennessee,"Nashville, TN",Today,10-29-2020,"Understands business intelligence concepts and methodologies.
Monitors and tracks usage of business intelligence systems.
Making Decisions and Solving Problems:","$76,152 a year",https://www.indeed.com/rc/clk?jk=ee8defd75e0b5f3e&fccid=bdf40812092f8f4f&vjs=3
Associate Intelligence Analyst (Remote),Principal Financial Group,"Des Moines, IA",Just posted,10-29-2020,"With direction from team, support the Enterprise Safety & Security Intelligence Program administration, implementation, execution, and documentation with focus…",,https://www.indeed.com/rc/clk?jk=ae145291083a4612&fccid=591be181c58fd89d&vjs=3
