Title,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Software Business Analyst,SafetyChain Software,"Novato, CA",11 days ago,10-29-2020,"Software business analyst: 2 years (Required).
SaaS software analyst: 2 years (Required).
As part of the Engineering team, the Business Analyst will work with…","From $75,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHypJWyGZ6GhUKcnTLtAT4JaOAH8emP1OsDQ6uFWrY4ow3aA3Ml1eaV5zY4DvH_aeC0dHHrcLsdFaVx0Dt2V6FjrWaNG2XfT-Dg-9wm7LDOMek2WkR2W4hcRCcEEuasmY94ypa6qJLUtkvfcHY-WdXoP0Yq_JPHHabdH5TnnLJCokdeaZmxO8FJfewhtbsqfU1UyPL-77rKY5ir_TttXo0GqOzWAS7YE1w93rwGfOlb_hDY35acZpiGweUAFD7FU_9ONT0bDx5Q7xmGLyer5rjRlZMCdyJ5MmmML1dGw1HNhIqd5iChIKqPM1Jndx99jt4z3CnZg3_mmZD9R4_VWIYmos-XLB7oljVbhLEzHDgXT2Ay0PTJ4AuNA2KavMJEZtAfEAd5BOIO5z6SZzUjeoqDRYmGmPZJdex9N991DAEd7GaYa0gykhNCjst-JgUP_rPP5BH91w1_5xF4oLpvJFeenoWWQ60_uo=&p=0&fvj=1&vjs=3
Business Analyst - 425055,Revel IT,"Columbus, OH",Just posted,10-29-2020,"Requires experience with standard software development project management processes (SDLC, waterfall, RUP, agile, etc.).
5-year client retention: 99%.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBMkGvlwK6m9pia4-10scwEdV1tdP_EMYk-E5OaTX1bZyL4IzM-V1fjUNriMs633627Q_v0t8a2Nahef6DxA0K6kOPx9vhu04mScKWlj4duegI-KuQG-FNzV6N0aKvnwSnvaM5Ibda7qaw4zvzpzaCL5NG0xA4pNl-3DsXPC_a7UfcgmKgmPwOVl0rkdUWlwzZtBvtnQZJ-6A8bllgXuS_kvkyB-OMS8w7GcZjB9Eo4ozn7mClVrJ8vQGvZQZZQ1uqMLEspz295KZEK8bJTLtxqTzuD7dqWkmfQFRarNc-BNgfIhQCTLEsQtl1PDxOBViOz4Dp6LskfVZiz53qBtKVxdC7giEri72EGaERq7_jT4z2gzgNbXqogcMuVRIh_jA0EKYX7ePtCBg7IeP5G8ksG_tB-TLgNzfhSXf1X_nOExq9CbeqJaf_Effs6ApyRpfpHiDRMNfOO7DPVUcA7V_qmyLWdkcB3u_MLQVSnYzvGxgF6EdhYlRE&p=1&fvj=0&vjs=3
Agile Business Analyst,Level Up Development,"Indianapolis, IN",4 days ago,10-29-2020,"We are seeking someone with advanced web development experience as well as exposure to mobile application development.
Business Analyst: 2 years (Preferred).","$75,000 - $100,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTiLWmNc7az8hRbe7LN_WGF3Jq4rk32gsaK72Xmo_a7tkHh_Of8kvP841_1IFsQVRCioT9ndmb8ShY_guFwdWa8OQW8U58FWHV-nwNzWuvuytODmJUBCGLQKcYnlfaJ6Pc8AcH01STgzyRui9Cu5evQ8yTbT2gy9dIEkYxDJDofF0mLIVyFlt21PIWE_fwt7-sKdDUyc-r1VUajWVtl0oX68aBMqARYKEY__SJIiMtyZ0YHDobUTm93SZzJsRtRIZpxxO_MiF4U0r2oIBdv_-TvNj8VbBkwe24QsNBqpp92k44FCcx-wmGUX0fZkaEK3YzxfbqqNUPGuUQP4FRG5VYi_eGJrQ6MKeoPssFQC6H0tSePHQdacmEv3JFjuf4KI-m7H9WdxdbhdRSvZLpokxc9tK1oumY2M4EobOG_HLdH22JYN5KBzwp18N5yUlqGL0Dsq6hFKY674XoWTQ9b8aj&p=2&fvj=1&vjs=3
Business Analyst Consultant,"Infinity Consulting Solutions, Inc.","Irving, TX",12 days ago,10-29-2020,"Be the SME for requirements gathering for local and remote business users; and third party vendors.
ICS is immediately hiring for a Business Analyst Consultant,…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOytGsXAhabkxxW1XT3zuzbFIsl3o9kRJA0NqiDY0Sxt2kElzPWeeJFXRb1yxKH0Afl0lHGaMtjFh16qOYzRRgkvMYuGFm0DmuzB0w81hfXsZ5QBTHZKwvtJ0EmCbYwga_ELDaCySnbOhfv5KWq08tGquPxoyricPaX-T0N9KmO7S7rabHW_JidMHAsh2RoOuzbUN9Qar74v28kjzJUa3sQfHNWApZwDCBPbZE0l-I3GuzyhgnDWfJ7aTqZp8pAG_euFVWeDW7xNagBf_4Z0WV_0PIfKXqEdGTb29JgRuL-7A8AgdLlG2reggaBzWX-hkmK_p4euFtpika56Q9G7h_a33-aBlTgP7JZKyDrBnqbMAQGSgl9iOJw54c9-5gu6w9UwVc5-AbJLsTbqVP2SVWZtCtyClWJwow-jWt_HWUSqTt3nz0RyITKjTzo-ZbWO-J2Qkly7Tg_7RyFVLWc18XHyQCCutHRmtWmbegC6vMNdCyQfq5Gx1bs8AmiNfSJB_F7meoN6GYJyWLZIAWhH9FSH3VLCm6C4p3nHrO-udb_mVYyqK64vfTou6aEmsOzH-YrjBY0et56li9AofrXQo9Y-3UWl7XwZUUlOJ4WGEU9J9-kNAlPztC95gyUUwukar9JJ0m0DW1dMbeWcke_D7AxBGOuKCW1SzhvxWgSPGhBECybmS6AQd6uBsSIlhVzgikCrvLEv4fh28dfpPPVMEOdUy_qGHbOuGdEXI2Ovf5Ncg3cB2bQaJx3SNpzQPBtWnwClHANnSn8hmk5Um9DuJBqKeXkVuTM4tSeOGaT22mtEuwqMKdo1-GHvb4_-O-M2184KKUDUIW6Y40N88yO6_DyVlqAuEmMl-7vIuksw4zF7Un8dKAGgqjhlZGVvRJtGNtbmiJLJAL9DFTRkZavln6FvwfAZixf4IGt3W9Ac6Am7o-qLGUIADxjoOdUPbq4sPqqDBb9z0c5Y89bDyfLNLi4bMChrRzsDE=&p=3&fvj=0&vjs=3
Oracle EBS Application Specialist / Business Analyst,Fayetteville Public Works Commission,"Fayetteville, NC",1 day ago,10-29-2020,"Prior experience with any of the following: Oracle HCM Cloud, writing business requirements, knowledge of basic Accounting principles, or workflow processing…","$70,618 - $88,273 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Acigsikwqu4M3AFW1gGUo2VvpP1U50qNdccqMposhtuHlEeBYzK2RIKN49H-RYKc5-h7ecjCZjWwWT7icJ9hzuuWxKPw3nLe6-hTYJkB_AJVu-wJiOotdhiOH0fIDaBYx2Y-4KoguQ96thFKEXZNwd3chKi3KYG0Jo-HEYNZYTKQr2m077I9Cp9i8_hX6Yvnv-5UVa2bokNdoNkmXaliWKKJBjRcCHZ8Ql6QltvSSFJ_9iIOp64myOtWG-Qqx_fNpauh64sCA_XbTNBHnx7Fx3UbQnP1Ea1TdLSUUNFA9TLWBoTZQ2UV9R8apsBwcI7AfDSTJe8FLLcYmsdtYlqRp9k2dbXdwvOaBCUWq0n2borgiv9oUpvF1QzMKTdoCKOGyEbcbwF6CoIvQndQZA0BVTwcmMT6BNvjzpwD1Kx6hp6NINBRYH8BA0HzZzKkYGDDk7Obn8uiHll7Z7zpd44Pymn7AV32IIlPkHXXajuKOZicV1K7TbN26lg2qYOa-0xuDOorcSVUmRyA==&p=4&fvj=1&vjs=3
Business Analyst,Dolphin,"Boston, MA",Just posted,10-29-2020,"2+ years of technology industry experience working as a business/technical analyst.
The primary focus of the role is to ensure effective communication and serve…","$90,000 - $120,000 a year",https://www.indeed.com/company/Dolphin/jobs/Business-Analyst-7c7ad1316af58e57?fccid=13f54e92876e47ff&vjs=3
Business Analyst-Remote-Contract (6+Months)Â,Agama Solutions,Georgia,Today,10-29-2020,"Analyze business performance trends to identify growth opportunities.
Create dashboards, spreadsheet analysis and presentations as requested by regional…",$35 an hour,https://www.indeed.com/rc/clk?jk=3b524ae4e0afd1ba&fccid=db130263a2af3230&vjs=3
Business Analyst,EFC Systems,"Brentwood, TN",2 days ago,10-29-2020,"EFC Systems has an immediate need for a Business Analyst with prior knowledge and experience with the agile process coupled with problem solving, functional…","$65,000 - $75,000 a year",https://www.indeed.com/company/EFC-Systems/jobs/Business-Analyst-d9d9817b869e6b37?fccid=a005d7f70693809c&vjs=3
Entry Level Business Analyst,Microsolutiontek,"Houston, TX",7 days ago,10-29-2020,"Gather requirements from business units and translate those to developers and architects.
Analyze and document those business requirements and processes and…","$62,000 - $75,000 a year",https://www.indeed.com/company/microsolutiontek/jobs/Entry-Level-Business-Analyst-233d1afd65d12514?fccid=4c13fe1d1e35a416&vjs=3
Entry Level Business Analyst,GlobalSoftSolution,"Dallas, TX",5 days ago,10-29-2020,"Demonstrable experience in successfully delivering business projects and managing stakeholders.
Ability to conceptualize a business or technical solution,…","$60,000 - $65,000 a year",https://www.indeed.com/company/GlobalSoftSolution/jobs/Entry-Level-Business-Analyst-a19653d60ed62782?fccid=2a95c5e19c4260a1&vjs=3
